Molecule_ChEMBLID;Smiles;Standard_Value
CHEMBL3138732;CC(=O)[N-]/C=C/SC1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)O)[C@H]2C1.[Na+].[Na+];0.065
CHEMBL177834;CCCCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OCC;10.0
CHEMBL56063;Nc1nc(O)c(N=O)c(NCCCS(=O)(=O)c2ccccc2)n1;18000.0
CHEMBL107079;Cc1sc2nc(N)nc(N)c2c1-c1ccc(Cl)cc1;100000.0
CHEMBL323960;COc1ccc(OC)c(-c2sc3nc(N)nc(N)c3c2C)c1;4800.0
CHEMBL428030;O=S(=O)(/C=C/CCc1ccccc1)N[C@@H]1[C@H](SC2CCCCC2)O[C@@H](CO)[C@H](O)[C@H]1O;105000.0
CHEMBL238766;O=C(N[C@@H]1[C@H](SC2CCCCC2)O[C@@H](CO)[C@H](O)[C@H]1O)c1ccc(-c2ccc(Cl)cc2)o1;7000.0
CHEMBL41449;N[C@H]1CC(CO)N(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1;0.4
CHEMBL291338;O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O;37000.0
CHEMBL1626882;C[C@H]1C(c2ccc3c(c2)-c2ccc(C[N+]45CC[N+](CC(=O)Nc6ccccc6)(CC4)CC5)cc2C3=O)=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@@H]12.[Cl-].[Cl-];1.28
CHEMBL1916865;C/C(=N\NC(=O)NO)c1ccccc1O;8000.0
CHEMBL1916857;O=C(c1ccccc1)N1N=C(c2ccccc2O)C[C@H]1c1ccccc1O;98000.0
CHEMBL1169978;O=C(NO)N1CCN(C(=S)N/N=C/c2ccccc2O)CC1;20000.0
CHEMBL491094;Oc1cc2ccnc3c2c(c1O)NC=C3;17.2
CHEMBL24878;CC1(C)[C@H](C(=O)O)N2C(=O)[C@H](CO)[C@H]2S1(=O)=O;5800.0
CHEMBL44274;NCCCNC(=O)/C=C/C1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1.[Na+];1590.0
CHEMBL34241;CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)/C=C/c4ccccc4)c2O)OC(C)(C)C=C3)c1O;76000.0
CHEMBL2270625;O=C1NCCOC1SCc1cccc(C(F)(F)F)c1;3200.0
CHEMBL2272696;CCC1CN(c2cccc(C(F)(F)F)c2)C(=O)C1c1cccc(F)c1;50.12
CHEMBL8353;CON(C)C(=O)/C=C1/C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12.[Na+];20000.0
CHEMBL328495;N#Cc1c(NC(=O)c2cc(S(=O)(=O)NCCCO)ccc2Cl)sc2c1CCC2;8000.0
CHEMBL244064;COc1ccc2oc(=O)sc2c1C(=O)/C=C/c1ccc(Br)cc1;1000.0
CHEMBL278648;CC1(CN)CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1;1.0
CHEMBL553866;CN(C(=O)C[C@@H](N)CCCN=C(N)N)C1CN=C(NC(N)=O)NC1=O.Cl.Cl;300.0
CHEMBL2271921;CCCCCCCCCCCCCCNc1nc(C)nc(C(Cl)(Cl)Cl)n1;48.98
CHEMBL2271915;CCCCNc1nc(C)nc(C(Cl)(Cl)Cl)n1;194.98
CHEMBL263076;O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12;110.0
CHEMBL97171;COC(=O)C1CCCC(NCc2cc(/C=C/c3ccc(Cl)c(Cl)c3)[nH]n2)C1;16.0
CHEMBL335696;C=CCO[C@]1(C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O;500000.0
CHEMBL119236;CCCCCCCCCCCCCCP(=O)(OCC)OCc1cccc(Oc2ccccc2)c1;862290.0
CHEMBL134561;COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2;7.0
CHEMBL10592;Nc1nc(N)c2nc(CCSc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1;0.002
CHEMBL37334;COc1ccc(C#CCCCC(=O)O)cc1Cc1cnc(N)nc1N;7.8
CHEMBL422395;C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1;8.0
CHEMBL1160008;O=C1C(I)=CC(=C(c2cc(I)c(O)c(I)c2)c2ccccc2C(=O)O)C=C1I;3000.0
CHEMBL1160160;O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21;19000.0
CHEMBL404;C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O;0.05
CHEMBL312688;Nc1nc(N)c2nc(-c3ccc(Cl)c(Cl)c3)[nH]c2n1;20000.0
CHEMBL287095;CC1(C)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])[C@H]2S1(=O)=O.[Na+].[Na+];45.0
CHEMBL1208;CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3;100.0
CHEMBL354064;C[C@H](CCC(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C;250.0
